state,substate,state_fips,county_fips,geography,closing_of_public_venues,gathering_size_10_0,gathering_size_100_to_26,gathering_size_25_to_11,gathering_size_500_to_101,lockdown,non-essential_services_closure,Other,religious_gatherings_banned,school_closure,shelter_in_place,social_distancing,nyt_effective_date,crwd_business_closed,crwd_college_closed,crwd_lockdown,crwd_religion_closed,crwd_school_closed,hikma_event_date,hikma_school_date,hikma_shelter_date,hikma_shelter_enforcement_date,hikma_testing_date,hikma_transport_date,hikma_work_date,effective_date_sip,source_sip,effective_date_business,source_business
Alabama,Jefferson,01,01073,county,03/17,03/19,NA,03/17,NA,NA,03/20,NA,03/17,03/16,NA,03/16,03/24,NA,NA,NA,NA,NA,03/16,03/18,04/04,04/04,03/23,NA,03/23,03/24,nyt,03/17,keystone_cpv
Alabama,Lee,01,01081,county,03/17,NA,NA,03/17,NA,NA,NA,NA,NA,03/16,04/04,03/13,NA,NA,NA,NA,NA,NA,03/19,03/19,04/03,NA,03/16,NA,04/03,04/04,keystone_sip,03/17,keystone_cpv
Alabama,Madison,01,01089,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/16,NA,NA,NA,03/27,03/16,04/03,03/15,03/19,04/30,03/19,NA,NA,NA,NA,04/30,04/03,crwd_lockdown,03/27,crwd_business
Alabama,Mobile,01,01097,county,03/18,NA,03/16,03/17,NA,NA,04/04,NA,04/04,03/17,04/04,03/13,NA,NA,NA,NA,NA,NA,03/20,04/06,03/20,NA,NA,NA,03/23,04/04,keystone_sip,03/18,keystone_cpv
Alabama,NA,01,NA,state,03/28,03/28,03/16,03/19,03/13,NA,03/28,NA,04/04,03/20,04/04,04/03,04/04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04/04,nyt,03/28,keystone_cpv
Alaska,Anchorage,02,02020,county,03/16,NA,03/16,NA,NA,NA,03/22,NA,03/22,NA,03/22,03/22,03/22,NA,NA,NA,NA,NA,03/28,03/13,03/28,03/28,03/16,04/08,03/28,03/22,nyt,03/16,keystone_cpv
Alaska,NA,02,NA,state,03/18,03/24,NA,NA,NA,NA,03/28,03/17,03/24,03/16,03/28,03/28,03/28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/28,nyt,03/18,keystone_cpv
Arizona,Coconino,04,04005,county,03/19,03/19,NA,NA,03/19,NA,03/19,NA,NA,03/19,NA,03/19,NA,03/31,03/16,03/31,03/22,03/16,03/31,03/16,03/31,NA,04/16,NA,03/31,03/31,crwd_lockdown,03/19,keystone_cpv
Arizona,Maricopa,04,04013,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/31,03/07,03/31,03/12,03/07,NA,03/30,NA,NA,03/23,NA,03/31,03/31,crwd_lockdown,03/31,crwd_business
Arizona,Navajo,04,04017,county,03/20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04/04,04/03,04/04,NA,NA,NA,04/04,04/04,hikma_shelter,03/20,keystone_cpv
Arizona,Pima,04,04019,county,03/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/20,03/16,03/28,03/16,03/20,03/17,03/16,03/31,03/31,NA,NA,03/23,03/28,crwd_lockdown,03/19,keystone_cpv
Arizona,Pinal,04,04021,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/15,NA,NA,03/17,04/13,03/27,NA,NA,03/27,hikma_work
Arizona,NA,04,NA,state,03/31,NA,NA,NA,NA,NA,03/31,NA,NA,03/15,03/31,03/31,03/31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/31,nyt,03/31,keystone_cpv
Arkansas,Pulaski,05,05119,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/13,NA,NA,NA,03/19,03/23,03/25,03/12,03/12,03/26,03/12,NA,03/26,NA,NA,03/26,03/25,crwd_lockdown,03/19,crwd_business
Arkansas,NA,05,NA,state,03/20,03/27,NA,NA,NA,NA,04/06,NA,NA,03/19,NA,03/27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/20,keystone_cpv
California,Alameda,06,06001,county,03/16,03/16,NA,NA,NA,NA,03/16,NA,03/31,03/16,03/16,03/31,NA,03/17,03/10,03/17,03/15,03/13,03/16,03/16,03/16,NA,04/03,NA,03/16,03/16,keystone_sip,03/16,keystone_cpv
California,Contra Costa,06,06013,county,03/17,03/17,03/14,NA,NA,NA,03/17,NA,03/17,03/17,03/17,NA,NA,03/17,03/16,03/17,03/15,03/16,03/16,03/25,03/16,03/16,NA,NA,03/16,03/17,keystone_sip,03/17,keystone_cpv
California,Fresno,06,06019,county,NA,03/16,NA,NA,NA,NA,NA,NA,03/16,NA,03/18,03/26,NA,03/18,03/12,03/18,03/13,03/13,03/16,03/16,03/19,04/11,04/08,NA,03/19,03/18,keystone_sip,03/18,crwd_business
California,Kern,06,06029,county,NA,NA,NA,NA,NA,NA,03/16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/19,03/16,03/19,NA,04/12,03/30,03/19,03/19,hikma_shelter,03/19,hikma_work
California,Los Angeles,06,06037,county,03/16,03/21,03/16,NA,NA,NA,03/20,NA,03/20,NA,03/21,03/16,NA,03/19,03/10,03/19,03/19,03/27,03/19,03/16,03/19,04/07,03/24,NA,03/19,03/21,keystone_sip,03/16,keystone_cpv
California,Marin,06,06041,county,03/17,03/17,NA,NA,NA,NA,03/17,NA,03/17,03/16,03/17,03/17,NA,03/17,03/16,03/17,03/17,03/14,NA,NA,NA,NA,NA,NA,NA,03/17,keystone_sip,03/17,keystone_cpv
California,Orange,06,06059,county,NA,NA,NA,NA,NA,NA,03/18,NA,03/18,03/13,NA,NA,NA,03/17,03/16,03/17,03/17,03/16,03/17,03/16,03/17,NA,03/21,NA,03/17,03/17,crwd_lockdown,03/17,crwd_business
California,Placer,06,06061,county,03/20,03/20,NA,NA,NA,NA,03/20,NA,03/20,03/16,03/20,03/20,NA,03/20,03/18,03/20,03/18,03/18,03/10,03/23,03/19,NA,NA,03/24,03/19,03/20,keystone_sip,03/20,keystone_cpv
California,Riverside,06,06065,county,03/16,04/04,NA,NA,03/12,NA,03/13,NA,04/04,03/16,04/04,NA,NA,03/19,03/14,03/19,03/16,03/14,03/19,03/16,03/19,04/08,03/22,NA,03/19,04/04,keystone_sip,03/16,keystone_cpv
California,Sacramento,06,06067,county,03/17,03/19,NA,NA,NA,NA,03/20,NA,NA,03/16,03/19,03/12,NA,03/19,03/14,03/19,03/19,03/07,04/07,03/16,03/19,NA,NA,NA,03/19,03/19,keystone_sip,03/17,keystone_cpv
California,San Bernardino,06,06071,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/17,03/13,03/19,03/17,03/13,03/17,03/13,03/17,NA,04/14,04/05,03/17,03/19,crwd_lockdown,03/17,crwd_business
California,San Diego,06,06073,county,03/16,03/18,03/16,NA,03/13,NA,NA,NA,NA,03/16,NA,03/13,NA,03/19,03/20,03/29,03/12,03/16,03/16,03/16,03/19,NA,NA,04/12,03/15,03/29,crwd_lockdown,03/16,keystone_cpv
California,San Francisco,06,06075,county,03/17,03/17,03/13,NA,NA,NA,03/17,NA,03/17,03/16,03/17,03/17,NA,03/17,03/10,03/17,03/15,03/13,03/11,03/31,03/31,03/31,04/06,NA,03/31,03/17,keystone_sip,03/17,keystone_cpv
California,San Joaquin,06,06077,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/16,NA,NA,NA,NA,NA,NA,NA,NA,03/13,03/16,03/19,NA,04/10,NA,03/19,03/19,hikma_shelter,03/19,hikma_work
California,San Luis Obispo,06,06079,county,03/19,NA,NA,NA,NA,NA,03/19,NA,03/19,NA,03/19,03/19,NA,03/19,03/13,03/21,03/19,03/13,03/18,03/18,03/18,03/18,03/18,NA,03/18,03/19,keystone_sip,03/19,keystone_cpv
California,San Mateo,06,06081,county,03/17,03/17,03/15,NA,03/13,NA,03/17,NA,03/17,03/16,03/17,03/11,NA,03/17,03/11,03/17,03/13,03/16,03/16,03/12,03/16,NA,03/26,NA,03/16,03/17,keystone_sip,03/17,keystone_cpv
California,Santa Barbara,06,06083,county,NA,NA,NA,NA,03/12,NA,03/19,NA,NA,03/16,NA,03/12,NA,03/20,03/11,03/19,03/14,03/16,NA,NA,NA,NA,NA,NA,NA,03/19,crwd_lockdown,03/20,crwd_business
California,Santa Clara,06,06085,county,03/17,03/17,03/14,NA,NA,NA,03/17,NA,03/17,03/17,03/17,03/17,NA,03/17,03/09,03/17,03/11,03/16,03/11,03/16,03/03,03/17,NA,NA,03/17,03/17,keystone_sip,03/17,keystone_cpv
California,Sonoma,06,06097,county,03/17,03/17,NA,NA,03/13,NA,03/17,NA,NA,03/14,03/17,03/13,NA,03/18,03/12,03/12,03/12,03/14,03/13,03/14,03/18,03/18,03/10,NA,03/16,03/17,keystone_sip,03/17,keystone_cpv
California,Tulare,06,06107,county,03/19,03/19,NA,NA,NA,NA,03/19,NA,03/19,03/19,03/19,03/19,NA,NA,NA,NA,NA,NA,03/19,03/17,03/19,03/19,05/04,NA,03/19,03/19,keystone_sip,03/19,keystone_cpv
California,Ventura,06,06111,county,03/20,03/20,NA,NA,03/13,NA,03/20,NA,03/20,03/16,03/20,NA,NA,03/20,03/11,03/20,03/18,03/16,03/20,03/16,03/20,03/20,03/17,NA,03/20,03/20,keystone_sip,03/20,keystone_cpv
California,NA,06,NA,state,03/19,03/16,NA,NA,03/11,NA,03/19,NA,03/19,03/19,03/19,03/19,03/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/19,nyt,03/19,keystone_cpv
Colorado,Adams,08,08001,county,03/26,03/26,NA,NA,NA,NA,03/26,NA,NA,03/20,03/26,03/26,03/26,03/26,03/14,03/26,03/17,03/13,03/26,03/16,03/26,03/29,04/14,NA,03/26,03/26,nyt,03/26,keystone_cpv
Colorado,Arapahoe,08,08005,county,03/24,03/25,NA,NA,NA,NA,03/25,NA,03/25,NA,03/25,03/25,03/26,03/26,03/14,03/26,03/13,03/21,03/23,03/23,03/24,03/17,NA,NA,03/17,03/26,nyt,03/24,keystone_cpv
Colorado,Boulder,08,08013,county,03/26,03/19,NA,NA,NA,NA,03/26,NA,NA,NA,03/26,03/26,03/24,03/26,03/11,04/02,03/15,03/13,03/26,03/18,03/26,03/26,NA,NA,04/27,03/24,nyt,03/26,keystone_cpv
Colorado,Denver,08,08031,county,03/17,03/20,NA,NA,NA,NA,03/20,NA,NA,03/16,03/24,03/24,03/24,03/26,03/13,03/26,03/15,03/11,03/24,03/16,03/24,03/31,NA,04/19,03/24,03/24,nyt,03/17,keystone_cpv
Colorado,Douglas,08,08035,county,03/26,03/26,NA,NA,NA,NA,03/26,NA,NA,03/16,03/26,03/26,03/26,03/25,03/23,03/25,03/13,03/13,03/26,03/26,03/26,03/26,NA,NA,03/26,03/26,nyt,03/26,keystone_cpv
Colorado,Eagle,08,08037,county,03/18,03/18,03/12,NA,NA,NA,03/16,NA,NA,03/16,03/24,03/12,NA,NA,NA,NA,NA,NA,03/12,03/16,05/01,NA,NA,NA,05/01,03/24,keystone_sip,03/18,keystone_cpv
Colorado,El Paso,08,08041,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/16,NA,NA,NA,03/26,03/26,03/26,03/13,03/16,03/25,03/23,03/25,NA,04/04,NA,03/25,03/26,crwd_lockdown,03/26,crwd_business
Colorado,Gunnison,08,08051,county,03/16,03/16,03/13,NA,NA,NA,03/16,NA,03/16,03/16,03/26,03/13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/26,keystone_sip,03/16,keystone_cpv
Colorado,Jefferson,08,08059,county,03/19,03/24,NA,NA,NA,NA,03/24,NA,03/24,03/16,03/24,03/18,03/26,03/26,03/16,03/26,03/18,03/16,NA,NA,NA,NA,NA,NA,NA,03/26,nyt,03/19,keystone_cpv
Colorado,Larimer,08,08069,county,03/17,NA,03/17,NA,03/15,NA,03/19,NA,03/25,NA,03/25,03/25,NA,03/26,03/23,03/26,03/19,03/23,03/15,NA,03/25,03/25,NA,NA,03/25,03/25,keystone_sip,03/17,keystone_cpv
Colorado,Weld,08,08123,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/13,NA,03/12,NA,NA,NA,NA,NA,NA,03/25,03/18,03/25,03/25,04/24,NA,03/19,03/25,hikma_shelter,03/19,hikma_work
Colorado,NA,08,NA,state,03/19,03/19,NA,NA,NA,NA,03/19,NA,NA,03/23,04/02,03/19,03/26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/26,nyt,03/19,keystone_cpv
Connecticut,Fairfield,09,09001,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/23,03/13,03/20,03/15,03/09,03/10,03/13,03/21,NA,NA,NA,03/21,03/20,crwd_lockdown,03/23,crwd_business
Connecticut,Hartford,09,09003,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/22,03/15,03/24,03/16,03/17,03/16,03/16,03/16,NA,04/11,NA,03/16,03/24,crwd_lockdown,03/22,crwd_business
Connecticut,Middlesex,09,09007,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/23,03/11,03/23,03/14,03/12,03/23,03/14,03/23,NA,NA,NA,03/23,03/23,crwd_lockdown,03/23,crwd_business
Connecticut,New Haven,09,09009,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/23,03/12,03/20,03/15,03/13,03/19,03/12,03/23,03/23,03/24,NA,03/23,03/20,crwd_lockdown,03/23,crwd_business
Connecticut,NA,09,NA,state,03/16,03/26,03/16,NA,03/12,NA,03/23,NA,03/16,03/15,03/20,03/16,03/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/23,nyt,03/16,keystone_cpv
Delaware,Kent,10,10001,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,03/16,03/24,03/15,03/16,NA,03/16,NA,NA,NA,NA,NA,03/24,crwd_lockdown,03/24,crwd_business
Delaware,New Castle,10,10003,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/12,03/16,03/24,04/07,03/23,NA,03/24,03/24,hikma_shelter,03/24,hikma_work
Delaware,Sussex,10,10005,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/16,03/13,03/24,03/30,03/23,NA,03/24,03/24,hikma_shelter,03/24,hikma_work
Delaware,NA,10,NA,state,03/16,03/22,03/18,NA,NA,NA,03/24,NA,NA,03/23,03/24,NA,03/24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,nyt,03/16,keystone_cpv
District of Columbia,District of Columbia,11,11001,county,03/16,03/24,03/16,NA,03/13,NA,03/24,NA,03/24,03/16,03/30,03/24,04/01,03/24,03/11,03/30,03/11,03/09,03/24,03/16,03/24,NA,04/09,NA,03/24,04/01,nyt,03/16,keystone_cpv
District of Columbia,NA,11,NA,state,03/16,03/25,03/16,NA,NA,NA,03/25,NA,03/25,03/16,04/01,03/13,04/01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04/01,nyt,03/16,keystone_cpv
Florida,Alachua,12,12001,county,03/17,03/23,03/17,NA,NA,NA,03/23,NA,03/23,03/16,03/24,03/24,03/24,NA,NA,NA,NA,NA,04/03,03/13,04/03,04/03,03/27,NA,NA,03/24,nyt,03/17,keystone_cpv
Florida,Broward,12,12011,county,03/23,NA,NA,NA,NA,NA,03/23,NA,NA,03/16,NA,NA,03/27,03/24,03/14,03/27,NA,03/16,03/20,03/16,03/20,NA,03/21,NA,03/20,03/27,nyt,03/23,keystone_cpv
Florida,Collier,12,12021,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04/04,03/17,04/03,03/16,03/13,04/01,03/16,04/01,04/01,NA,NA,04/01,04/03,crwd_lockdown,04/04,crwd_business
Florida,Duval,12,12031,county,04/03,NA,NA,NA,NA,NA,04/03,NA,NA,03/16,04/03,NA,NA,03/16,03/17,04/02,03/15,03/19,04/01,03/23,04/01,NA,04/02,NA,04/01,04/03,keystone_sip,04/03,keystone_cpv
Florida,Escambia,12,12033,county,NA,NA,03/16,NA,03/16,NA,NA,NA,NA,03/16,NA,03/17,NA,NA,NA,NA,NA,NA,03/16,03/23,04/01,NA,03/23,NA,NA,04/01,hikma_shelter,04/01,effective_date_sip
Florida,Hillsborough,12,12057,county,03/20,03/20,NA,NA,NA,NA,03/27,NA,03/20,03/20,03/27,03/20,03/27,03/27,04/16,NA,04/17,03/20,04/01,03/16,04/01,03/30,04/08,04/01,NA,03/27,nyt,03/20,keystone_cpv
Florida,Lake,12,12069,county,NA,03/30,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/30,NA,NA,NA,NA,NA,NA,03/12,03/13,04/03,NA,03/23,03/22,04/03,04/03,hikma_shelter,04/03,hikma_work
Florida,Lee,12,12071,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/16,NA,NA,NA,NA,NA,NA,NA,NA,04/02,03/14,04/02,NA,03/26,03/26,04/02,04/02,hikma_shelter,04/02,hikma_work
Florida,Manatee,12,12081,county,03/20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04/03,NA,04/29,NA,04/03,04/03,hikma_shelter,03/20,keystone_cpv
Florida,Miami-Dade,12,12086,county,NA,03/24,NA,NA,NA,NA,03/12,NA,NA,NA,NA,NA,03/24,03/19,03/13,04/01,NA,03/16,03/24,03/31,03/26,04/09,03/19,NA,03/19,03/24,nyt,03/19,crwd_business
Florida,Orange,12,12095,county,03/26,NA,NA,NA,NA,NA,03/26,NA,NA,NA,03/26,03/26,03/26,03/26,03/16,04/03,03/15,03/13,04/03,03/17,04/03,NA,04/11,NA,04/03,03/26,nyt,03/26,keystone_cpv
Florida,Osceola,12,12097,county,03/26,NA,NA,NA,NA,NA,03/26,NA,NA,NA,03/26,03/26,03/26,NA,NA,NA,NA,NA,05/04,03/16,NA,NA,03/17,NA,03/23,03/26,nyt,03/26,keystone_cpv
Florida,Palm Beach,12,12099,county,03/20,03/20,NA,NA,NA,NA,03/20,NA,NA,03/16,NA,NA,03/30,03/20,03/15,03/28,03/13,03/17,NA,NA,03/25,NA,NA,NA,03/23,03/30,nyt,03/20,keystone_cpv
Florida,Pasco,12,12101,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04/03,03/14,04/03,01/01,03/17,NA,04/03,04/03,hikma_shelter,04/03,hikma_work
Florida,Pinellas,12,12103,county,NA,03/18,NA,NA,NA,NA,03/26,NA,NA,03/16,03/26,03/26,03/26,03/26,04/04,03/20,04/10,03/13,03/25,03/16,03/25,03/31,04/10,NA,03/25,03/26,nyt,03/26,crwd_business
Florida,Polk,12,12105,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/16,NA,NA,NA,NA,NA,NA,NA,NA,04/01,03/17,04/01,NA,04/03,NA,04/01,04/01,hikma_shelter,04/01,hikma_work
Florida,Sarasota,12,12115,county,NA,NA,NA,NA,03/12,NA,NA,NA,NA,03/16,NA,NA,NA,NA,NA,NA,NA,NA,03/12,03/17,NA,NA,NA,NA,04/03,NA,NA,04/03,hikma_work
Florida,Seminole,12,12117,county,NA,03/30,NA,NA,NA,NA,NA,NA,NA,03/16,NA,03/30,NA,03/17,03/13,NA,NA,03/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/17,crwd_business
Florida,St. Johns,12,12109,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/16,NA,NA,NA,04/03,03/13,04/03,03/19,03/16,04/03,03/30,04/03,NA,04/09,NA,04/03,04/03,crwd_lockdown,04/03,crwd_business
Florida,Volusia,12,12127,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/16,NA,NA,NA,NA,NA,NA,NA,NA,03/17,03/17,04/01,04/03,04/10,NA,04/01,04/01,hikma_shelter,04/01,hikma_work
Florida,NA,12,NA,state,03/20,04/03,NA,NA,NA,NA,04/03,NA,NA,03/17,04/03,03/20,04/03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04/03,nyt,03/20,keystone_cpv
Georgia,Bartow,13,13015,county,03/20,NA,NA,NA,NA,NA,03/13,NA,NA,NA,04/03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04/03,keystone_sip,03/20,keystone_cpv
Georgia,Carroll,13,13045,county,03/22,03/23,NA,NA,NA,NA,03/17,NA,NA,03/16,03/25,03/23,03/25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/25,nyt,03/22,keystone_cpv
Georgia,Cherokee,13,13057,county,NA,03/25,NA,NA,NA,NA,NA,NA,NA,03/16,03/25,03/25,NA,NA,NA,NA,NA,NA,03/25,03/13,03/25,03/25,03/20,NA,03/25,03/25,keystone_sip,03/25,hikma_work
Georgia,Clayton,13,13063,county,04/01,04/01,NA,NA,NA,NA,04/01,NA,04/01,03/16,04/01,04/01,03/30,NA,NA,NA,NA,NA,03/23,03/26,03/23,NA,NA,NA,03/23,03/30,nyt,04/01,keystone_cpv
Georgia,Cobb,13,13067,county,03/25,03/25,NA,NA,NA,NA,NA,NA,NA,03/16,03/25,03/16,03/30,03/24,03/16,03/24,03/14,03/16,04/03,03/13,04/03,NA,NA,NA,04/03,03/30,nyt,03/25,keystone_cpv
Georgia,DeKalb,13,13089,county,03/23,03/23,NA,NA,NA,NA,03/28,NA,NA,03/16,03/28,03/23,03/24,03/28,03/12,03/28,03/30,03/18,03/27,03/16,03/27,NA,NA,NA,03/27,03/24,nyt,03/23,keystone_cpv
Georgia,Dougherty,13,13095,county,03/23,03/23,NA,NA,NA,NA,03/23,NA,NA,03/16,03/23,03/14,03/21,NA,NA,NA,NA,NA,03/22,03/17,03/22,04/01,04/20,NA,NA,03/21,nyt,03/23,keystone_cpv
Georgia,Douglas,13,13097,county,03/23,03/23,NA,NA,NA,NA,03/25,NA,03/23,NA,03/25,03/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/25,keystone_sip,03/23,keystone_cpv
Georgia,Fulton,13,13121,county,03/24,03/24,NA,NA,NA,NA,03/31,NA,NA,03/13,03/31,03/24,03/24,03/20,03/16,04/03,03/13,03/16,03/19,04/02,04/01,04/01,NA,NA,04/06,03/24,nyt,03/24,keystone_cpv
Georgia,Gwinnett,13,13135,county,03/23,03/23,NA,NA,NA,NA,03/23,NA,NA,03/16,03/23,03/23,03/28,NA,NA,NA,NA,NA,03/06,03/16,03/16,NA,NA,NA,NA,03/28,nyt,03/23,keystone_cpv
Georgia,Hall,13,13139,county,03/16,NA,NA,NA,NA,NA,03/20,NA,03/16,03/16,03/27,03/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/27,keystone_sip,03/16,keystone_cpv
Georgia,Henry,13,13151,county,03/17,03/17,NA,NA,NA,NA,03/17,NA,03/17,03/16,03/17,03/17,NA,NA,NA,NA,NA,NA,03/23,03/18,04/02,NA,NA,NA,04/02,03/17,keystone_sip,03/17,keystone_cpv
Georgia,NA,13,NA,state,03/24,03/24,NA,NA,NA,NA,04/03,NA,NA,03/18,04/03,03/24,04/03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04/03,nyt,03/24,keystone_cpv
Guam,NA,66,NA,state,03/20,NA,03/17,NA,NA,NA,03/20,NA,NA,03/17,NA,03/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/20,keystone_cpv
Hawaii,Honolulu,15,15003,county,03/20,03/23,03/20,NA,NA,NA,03/23,NA,03/23,03/16,03/23,03/23,NA,03/19,NA,03/24,03/16,03/19,03/24,03/24,03/23,03/23,03/27,NA,03/23,03/23,keystone_sip,03/20,keystone_cpv
Hawaii,NA,15,NA,state,03/17,03/17,03/15,NA,NA,NA,03/25,NA,03/17,03/19,03/25,03/17,03/25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/25,nyt,03/17,keystone_cpv
Idaho,Ada,16,16001,county,NA,NA,NA,NA,03/12,NA,NA,NA,NA,NA,NA,NA,NA,03/25,03/16,03/26,03/13,03/23,NA,NA,NA,NA,NA,NA,NA,03/26,crwd_lockdown,03/25,crwd_business
Idaho,Blaine,16,16013,county,03/20,03/20,NA,NA,NA,NA,03/20,NA,NA,03/27,03/20,03/20,03/20,03/17,03/14,03/20,03/20,03/12,NA,NA,NA,NA,NA,NA,NA,03/20,nyt,03/20,keystone_cpv
Idaho,Canyon,16,16027,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/25,03/23,03/25,03/25,03/16,03/25,03/23,03/25,NA,NA,NA,03/25,03/25,crwd_lockdown,03/25,crwd_business
Idaho,NA,16,NA,state,03/25,03/25,NA,NA,NA,NA,03/25,NA,03/25,03/23,03/25,03/25,03/25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/25,nyt,03/25,keystone_cpv
Illinois,Cook,17,17031,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/21,03/09,03/21,03/21,03/16,04/01,03/17,04/01,NA,NA,NA,03/20,03/21,crwd_lockdown,03/21,crwd_business
Illinois,DuPage,17,17043,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/21,03/07,03/21,03/19,03/14,03/20,03/29,03/20,NA,NA,NA,03/16,03/21,crwd_lockdown,03/21,crwd_business
Illinois,Kane,17,17089,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/21,03/14,03/21,03/18,03/13,03/17,03/17,03/21,NA,04/20,NA,03/21,03/21,crwd_lockdown,03/21,crwd_business
Illinois,Lake,17,17097,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/21,03/17,03/21,NA,03/16,03/31,03/16,03/31,NA,NA,NA,03/31,03/21,crwd_lockdown,03/21,crwd_business
Illinois,McHenry,17,17111,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/21,03/14,03/21,03/13,03/14,03/20,03/16,03/20,NA,NA,NA,03/16,03/21,crwd_lockdown,03/21,crwd_business
Illinois,Will,17,17197,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/17,03/31,NA,NA,NA,03/31,03/31,hikma_shelter,03/31,hikma_work
Illinois,NA,17,NA,state,03/16,03/21,03/16,NA,NA,NA,03/21,NA,03/16,03/17,03/21,03/13,03/21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/21,nyt,03/16,keystone_cpv
Indiana,Hamilton,18,18057,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/16,NA,NA,NA,03/24,03/23,03/25,03/15,03/16,03/23,03/16,03/23,NA,04/03,NA,03/23,03/25,crwd_lockdown,03/24,crwd_business
Indiana,Johnson,18,18081,county,04/02,NA,NA,NA,NA,NA,04/02,NA,NA,03/16,04/02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04/02,keystone_sip,04/02,keystone_cpv
